RUN	SmokeTest.CrearCredito	crearcredito	1570467339395	 	3.0.2
USER	SmokeTest	1	START	1570467342840	1570467342840
USER	SmokeTest	2	START	1570467343201	1570467343201
USER	SmokeTest	3	START	1570467343534	1570467343534
REQUEST	1		SmokeTest	1570467342876	1570467346490	OK	 
REQUEST	1		SmokeTest	1570467346621	1570467350795	OK	 
USER	SmokeTest	1	END	1570467342840	1570467350810
USER	SmokeTest	4	START	1570467350811	1570467350811
REQUEST	3		SmokeTest	1570467343537	1570467350868	KO	jsonPath($.data.token.value).find.exists, found nothing
REQUEST	2		SmokeTest	1570467343202	1570467350880	OK	 
ERROR	SmokeTest: Failed to build request: No attribute named 'value' is defined 	1570467350887
USER	SmokeTest	3	END	1570467343534	1570467350887
USER	SmokeTest	5	START	1570467350889	1570467350889
REQUEST	5		SmokeTest	1570467350890	1570467354371	OK	 
REQUEST	4		SmokeTest	1570467350813	1570467354372	OK	 
REQUEST	2		SmokeTest	1570467350889	1570467354628	OK	 
USER	SmokeTest	2	END	1570467343201	1570467354631
USER	SmokeTest	6	START	1570467354631	1570467354631
REQUEST	5		SmokeTest	1570467354375	1570467356622	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	5	END	1570467350889	1570467356624
USER	SmokeTest	7	START	1570467356624	1570467356624
REQUEST	4		SmokeTest	1570467354377	1570467356666	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	4	END	1570467350811	1570467356668
USER	SmokeTest	8	START	1570467356668	1570467356668
REQUEST	6		SmokeTest	1570467354632	1570467356881	OK	 
REQUEST	8		SmokeTest	1570467356669	1570467359869	OK	 
REQUEST	7		SmokeTest	1570467356625	1570467360095	OK	 
REQUEST	6		SmokeTest	1570467356883	1570467360571	OK	 
USER	SmokeTest	6	END	1570467354631	1570467360575
USER	SmokeTest	9	START	1570467360576	1570467360576
REQUEST	8		SmokeTest	1570467359872	1570467361907	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	8	END	1570467356668	1570467361910
USER	SmokeTest	10	START	1570467361911	1570467361911
REQUEST	7		SmokeTest	1570467360097	1570467362075	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	7	END	1570467356624	1570467362079
USER	SmokeTest	11	START	1570467362079	1570467362079
REQUEST	9		SmokeTest	1570467360580	1570467363025	OK	 
REQUEST	10		SmokeTest	1570467361913	1570467364384	OK	 
REQUEST	11		SmokeTest	1570467362082	1570467364667	OK	 
REQUEST	9		SmokeTest	1570467363030	1570467371098	OK	 
USER	SmokeTest	9	END	1570467360576	1570467371100
USER	SmokeTest	12	START	1570467371100	1570467371100
REQUEST	10		SmokeTest	1570467364387	1570467371284	OK	 
USER	SmokeTest	10	END	1570467361911	1570467371287
USER	SmokeTest	13	START	1570467371287	1570467371287
REQUEST	11		SmokeTest	1570467364670	1570467371439	OK	 
USER	SmokeTest	11	END	1570467362079	1570467371441
USER	SmokeTest	14	START	1570467371441	1570467371441
