RUN	SmokeTest.getActiveCredits	getactivecredits	1570552250191	 	3.0.2
USER	SmokeTest	1	START	1570552254231	1570552254231
USER	SmokeTest	2	START	1570552254745	1570552254745
REQUEST	2		SmokeTest	1570552254747	1570552257403	OK	 
USER	SmokeTest	2	END	1570552254745	1570552257458
USER	SmokeTest	3	START	1570552257459	1570552257459
REQUEST	1		SmokeTest	1570552254272	1570552257517	OK	 
USER	SmokeTest	1	END	1570552254231	1570552257520
USER	SmokeTest	4	START	1570552257521	1570552257521
REQUEST	3		SmokeTest	1570552257460	1570552259593	OK	 
USER	SmokeTest	3	END	1570552257459	1570552259603
USER	SmokeTest	5	START	1570552259605	1570552259605
REQUEST	4		SmokeTest	1570552257522	1570552259803	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	4	END	1570552257521	1570552259828
USER	SmokeTest	6	START	1570552259832	1570552259832
REQUEST	5		SmokeTest	1570552259609	1570552262286	OK	 
USER	SmokeTest	5	END	1570552259605	1570552262294
USER	SmokeTest	7	START	1570552262296	1570552262296
REQUEST	6		SmokeTest	1570552259839	1570552262496	OK	 
USER	SmokeTest	6	END	1570552259832	1570552262504
USER	SmokeTest	8	START	1570552262505	1570552262505
REQUEST	7		SmokeTest	1570552262300	1570552263726	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	7	END	1570552262296	1570552263734
USER	SmokeTest	9	START	1570552263736	1570552263736
REQUEST	8		SmokeTest	1570552262510	1570552264982	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	8	END	1570552262505	1570552264992
USER	SmokeTest	10	START	1570552264993	1570552264993
REQUEST	9		SmokeTest	1570552263740	1570552265906	OK	 
USER	SmokeTest	9	END	1570552263736	1570552265913
USER	SmokeTest	11	START	1570552265914	1570552265914
REQUEST	10		SmokeTest	1570552264997	1570552268104	OK	 
USER	SmokeTest	10	END	1570552264993	1570552268113
USER	SmokeTest	12	START	1570552268114	1570552268114
REQUEST	11		SmokeTest	1570552265918	1570552268519	OK	 
USER	SmokeTest	11	END	1570552265914	1570552268527
USER	SmokeTest	13	START	1570552268529	1570552268529
REQUEST	12		SmokeTest	1570552268117	1570552270685	OK	 
USER	SmokeTest	12	END	1570552268114	1570552270693
USER	SmokeTest	14	START	1570552270694	1570552270694
REQUEST	13		SmokeTest	1570552268532	1570552271197	OK	 
USER	SmokeTest	13	END	1570552268529	1570552271207
USER	SmokeTest	15	START	1570552271208	1570552271208
REQUEST	14		SmokeTest	1570552270698	1570552272490	OK	 
USER	SmokeTest	14	END	1570552270694	1570552272499
USER	SmokeTest	16	START	1570552272508	1570552272508
REQUEST	15		SmokeTest	1570552271212	1570552273492	OK	 
USER	SmokeTest	15	END	1570552271208	1570552273500
USER	SmokeTest	17	START	1570552273503	1570552273503
REQUEST	16		SmokeTest	1570552272516	1570552275388	OK	 
USER	SmokeTest	16	END	1570552272508	1570552275397
USER	SmokeTest	18	START	1570552275398	1570552275398
REQUEST	17		SmokeTest	1570552273507	1570552275995	OK	 
USER	SmokeTest	17	END	1570552273503	1570552276005
USER	SmokeTest	19	START	1570552276006	1570552276006
REQUEST	18		SmokeTest	1570552275402	1570552277674	OK	 
USER	SmokeTest	18	END	1570552275398	1570552277682
USER	SmokeTest	20	START	1570552277682	1570552277682
REQUEST	19		SmokeTest	1570552276011	1570552278222	OK	 
USER	SmokeTest	19	END	1570552276006	1570552278230
USER	SmokeTest	21	START	1570552278232	1570552278232
REQUEST	20		SmokeTest	1570552277687	1570552279672	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	20	END	1570552277682	1570552279682
USER	SmokeTest	22	START	1570552279683	1570552279683
REQUEST	21		SmokeTest	1570552278237	1570552280595	OK	 
USER	SmokeTest	21	END	1570552278232	1570552280606
USER	SmokeTest	23	START	1570552280609	1570552280609
REQUEST	22		SmokeTest	1570552279690	1570552281880	OK	 
USER	SmokeTest	22	END	1570552279683	1570552281887
USER	SmokeTest	24	START	1570552281889	1570552281889
REQUEST	23		SmokeTest	1570552280615	1570552282422	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	23	END	1570552280609	1570552282533
USER	SmokeTest	25	START	1570552282533	1570552282533
REQUEST	24		SmokeTest	1570552281893	1570552283389	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	24	END	1570552281889	1570552283392
USER	SmokeTest	26	START	1570552283393	1570552283393
REQUEST	25		SmokeTest	1570552282535	1570552284682	OK	 
USER	SmokeTest	25	END	1570552282533	1570552284684
USER	SmokeTest	27	START	1570552284684	1570552284684
REQUEST	26		SmokeTest	1570552283394	1570552285687	OK	 
USER	SmokeTest	26	END	1570552283393	1570552285694
USER	SmokeTest	28	START	1570552285695	1570552285695
REQUEST	27		SmokeTest	1570552284685	1570552286605	OK	 
USER	SmokeTest	27	END	1570552284684	1570552286614
USER	SmokeTest	29	START	1570552286615	1570552286615
REQUEST	28		SmokeTest	1570552285699	1570552288794	OK	 
USER	SmokeTest	28	END	1570552285695	1570552288800
USER	SmokeTest	30	START	1570552288801	1570552288801
REQUEST	29		SmokeTest	1570552286619	1570552289114	OK	 
USER	SmokeTest	29	END	1570552286615	1570552289123
USER	SmokeTest	31	START	1570552289124	1570552289124
REQUEST	31		SmokeTest	1570552289129	1570552292989	OK	 
REQUEST	30		SmokeTest	1570552288804	1570552292990	OK	 
USER	SmokeTest	31	END	1570552289124	1570552292997
USER	SmokeTest	32	START	1570552293000	1570552293000
USER	SmokeTest	30	END	1570552288801	1570552292998
USER	SmokeTest	33	START	1570552293003	1570552293003
REQUEST	32		SmokeTest	1570552293004	1570552296080	OK	 
USER	SmokeTest	32	END	1570552293000	1570552296088
USER	SmokeTest	34	START	1570552296089	1570552296089
REQUEST	33		SmokeTest	1570552293009	1570552296102	OK	 
USER	SmokeTest	33	END	1570552293003	1570552296110
USER	SmokeTest	35	START	1570552296111	1570552296111
REQUEST	34		SmokeTest	1570552296093	1570552298986	OK	 
USER	SmokeTest	34	END	1570552296089	1570552298993
USER	SmokeTest	36	START	1570552298994	1570552298994
REQUEST	35		SmokeTest	1570552296116	1570552299003	OK	 
USER	SmokeTest	35	END	1570552296111	1570552299010
USER	SmokeTest	37	START	1570552299012	1570552299012
REQUEST	36		SmokeTest	1570552298998	1570552301423	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	36	END	1570552298994	1570552301430
USER	SmokeTest	38	START	1570552301430	1570552301430
REQUEST	37		SmokeTest	1570552299016	1570552301479	OK	 
USER	SmokeTest	37	END	1570552299012	1570552301485
USER	SmokeTest	39	START	1570552301487	1570552301487
REQUEST	39		SmokeTest	1570552301491	1570552303590	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	39	END	1570552301487	1570552303596
USER	SmokeTest	40	START	1570552303596	1570552303596
REQUEST	38		SmokeTest	1570552301435	1570552303794	OK	 
USER	SmokeTest	38	END	1570552301430	1570552303802
USER	SmokeTest	41	START	1570552303804	1570552303804
REQUEST	40		SmokeTest	1570552303599	1570552304974	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	40	END	1570552303596	1570552304982
USER	SmokeTest	42	START	1570552304984	1570552304984
REQUEST	41		SmokeTest	1570552303810	1570552305900	OK	 
USER	SmokeTest	41	END	1570552303804	1570552305906
USER	SmokeTest	43	START	1570552305907	1570552305907
REQUEST	42		SmokeTest	1570552304990	1570552306990	OK	 
USER	SmokeTest	42	END	1570552304984	1570552306998
USER	SmokeTest	44	START	1570552306999	1570552306999
REQUEST	43		SmokeTest	1570552305912	1570552307911	OK	 
USER	SmokeTest	43	END	1570552305907	1570552307918
USER	SmokeTest	45	START	1570552307919	1570552307919
REQUEST	44		SmokeTest	1570552307003	1570552309574	OK	 
USER	SmokeTest	44	END	1570552306999	1570552309580
USER	SmokeTest	46	START	1570552309580	1570552309580
REQUEST	45		SmokeTest	1570552307923	1570552309909	OK	 
USER	SmokeTest	45	END	1570552307919	1570552309914
USER	SmokeTest	47	START	1570552309916	1570552309916
REQUEST	46		SmokeTest	1570552309584	1570552312083	OK	 
USER	SmokeTest	46	END	1570552309580	1570552312170
USER	SmokeTest	48	START	1570552312170	1570552312170
REQUEST	47		SmokeTest	1570552309921	1570552312424	OK	 
USER	SmokeTest	47	END	1570552309916	1570552312429
USER	SmokeTest	49	START	1570552312430	1570552312430
