RUN	SmokeTest.getCreditDetails	getcreditdetails	1570467023496	 	3.0.2
USER	SmokeTest	1	START	1570467025661	1570467025661
USER	SmokeTest	2	START	1570467026019	1570467026019
USER	SmokeTest	3	START	1570467026353	1570467026353
REQUEST	2		SmokeTest	1570467026021	1570467028078	OK	 
REQUEST	1		SmokeTest	1570467025699	1570467028082	OK	 
USER	SmokeTest	1	END	1570467025661	1570467028137
USER	SmokeTest	4	START	1570467028138	1570467028138
USER	SmokeTest	2	END	1570467026019	1570467028137
USER	SmokeTest	5	START	1570467028139	1570467028139
REQUEST	3		SmokeTest	1570467026355	1570467028707	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	3	END	1570467026353	1570467028713
USER	SmokeTest	6	START	1570467028713	1570467028713
REQUEST	5		SmokeTest	1570467028141	1570467030276	OK	 
USER	SmokeTest	5	END	1570467028139	1570467030278
USER	SmokeTest	7	START	1570467030278	1570467030278
REQUEST	4		SmokeTest	1570467028140	1570467030402	OK	 
USER	SmokeTest	4	END	1570467028138	1570467030404
USER	SmokeTest	8	START	1570467030405	1570467030405
REQUEST	6		SmokeTest	1570467028714	1570467031036	OK	 
USER	SmokeTest	6	END	1570467028713	1570467031040
USER	SmokeTest	9	START	1570467031041	1570467031041
REQUEST	7		SmokeTest	1570467030279	1570467032082	OK	 
USER	SmokeTest	7	END	1570467030278	1570467032088
USER	SmokeTest	10	START	1570467032088	1570467032088
REQUEST	8		SmokeTest	1570467030406	1570467032670	OK	 
USER	SmokeTest	8	END	1570467030405	1570467032674
USER	SmokeTest	11	START	1570467032675	1570467032675
REQUEST	9		SmokeTest	1570467031043	1570467033289	OK	 
USER	SmokeTest	9	END	1570467031041	1570467033292
USER	SmokeTest	12	START	1570467033292	1570467033292
REQUEST	10		SmokeTest	1570467032091	1570467034078	OK	 
USER	SmokeTest	10	END	1570467032088	1570467034080
USER	SmokeTest	13	START	1570467034081	1570467034081
REQUEST	11		SmokeTest	1570467032677	1570467034693	OK	 
USER	SmokeTest	11	END	1570467032675	1570467034696
USER	SmokeTest	14	START	1570467034697	1570467034697
REQUEST	12		SmokeTest	1570467033294	1570467035393	OK	 
USER	SmokeTest	12	END	1570467033292	1570467035395
USER	SmokeTest	15	START	1570467035396	1570467035396
REQUEST	13		SmokeTest	1570467034082	1570467036269	OK	 
USER	SmokeTest	13	END	1570467034081	1570467036272
USER	SmokeTest	16	START	1570467036272	1570467036272
REQUEST	14		SmokeTest	1570467034698	1570467036890	OK	 
USER	SmokeTest	14	END	1570467034697	1570467036892
USER	SmokeTest	17	START	1570467036892	1570467036892
REQUEST	15		SmokeTest	1570467035397	1570467037476	OK	 
USER	SmokeTest	15	END	1570467035396	1570467037479
USER	SmokeTest	18	START	1570467037479	1570467037479
REQUEST	16		SmokeTest	1570467036274	1570467038175	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	16	END	1570467036272	1570467038178
USER	SmokeTest	19	START	1570467038178	1570467038178
REQUEST	17		SmokeTest	1570467036893	1570467038892	OK	 
USER	SmokeTest	17	END	1570467036892	1570467038894
USER	SmokeTest	20	START	1570467038894	1570467038894
REQUEST	18		SmokeTest	1570467037481	1570467040177	OK	 
USER	SmokeTest	18	END	1570467037479	1570467040179
USER	SmokeTest	21	START	1570467040179	1570467040179
REQUEST	19		SmokeTest	1570467038180	1570467040972	OK	 
USER	SmokeTest	19	END	1570467038178	1570467040974
USER	SmokeTest	22	START	1570467040975	1570467040975
REQUEST	20		SmokeTest	1570467038895	1570467041387	OK	 
USER	SmokeTest	20	END	1570467038894	1570467041389
USER	SmokeTest	23	START	1570467041389	1570467041389
REQUEST	21		SmokeTest	1570467040181	1570467041997	OK	 
USER	SmokeTest	21	END	1570467040179	1570467042001
USER	SmokeTest	24	START	1570467042001	1570467042001
REQUEST	22		SmokeTest	1570467040976	1570467043178	OK	 
USER	SmokeTest	22	END	1570467040975	1570467043180
USER	SmokeTest	25	START	1570467043181	1570467043181
REQUEST	23		SmokeTest	1570467041390	1570467043574	OK	 
USER	SmokeTest	23	END	1570467041389	1570467043577
USER	SmokeTest	26	START	1570467043578	1570467043578
REQUEST	24		SmokeTest	1570467042003	1570467044090	OK	 
USER	SmokeTest	24	END	1570467042001	1570467044092
USER	SmokeTest	27	START	1570467044092	1570467044092
REQUEST	25		SmokeTest	1570467043182	1570467044984	OK	 
USER	SmokeTest	25	END	1570467043181	1570467044986
USER	SmokeTest	28	START	1570467044986	1570467044986
REQUEST	26		SmokeTest	1570467043579	1570467045772	OK	 
USER	SmokeTest	26	END	1570467043578	1570467045776
USER	SmokeTest	29	START	1570467045776	1570467045776
REQUEST	27		SmokeTest	1570467044093	1570467046413	OK	 
USER	SmokeTest	27	END	1570467044092	1570467046417
USER	SmokeTest	30	START	1570467046417	1570467046417
REQUEST	28		SmokeTest	1570467044988	1570467046899	OK	 
USER	SmokeTest	28	END	1570467044986	1570467046902
USER	SmokeTest	31	START	1570467046903	1570467046903
REQUEST	29		SmokeTest	1570467045779	1570467047712	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	29	END	1570467045776	1570467047716
USER	SmokeTest	32	START	1570467047717	1570467047717
REQUEST	30		SmokeTest	1570467046419	1570467048676	OK	 
USER	SmokeTest	30	END	1570467046417	1570467048679
USER	SmokeTest	33	START	1570467048694	1570467048694
REQUEST	31		SmokeTest	1570467046905	1570467049088	OK	 
USER	SmokeTest	31	END	1570467046903	1570467049090
USER	SmokeTest	34	START	1570467049090	1570467049090
REQUEST	32		SmokeTest	1570467047719	1570467049698	OK	 
USER	SmokeTest	32	END	1570467047717	1570467049701
USER	SmokeTest	35	START	1570467049701	1570467049701
REQUEST	33		SmokeTest	1570467048695	1570467050977	OK	 
USER	SmokeTest	33	END	1570467048694	1570467050979
USER	SmokeTest	36	START	1570467050980	1570467050980
REQUEST	34		SmokeTest	1570467049092	1570467051679	OK	 
USER	SmokeTest	34	END	1570467049090	1570467051682
USER	SmokeTest	37	START	1570467051683	1570467051683
REQUEST	35		SmokeTest	1570467049703	1570467052187	OK	 
USER	SmokeTest	35	END	1570467049701	1570467052190
USER	SmokeTest	38	START	1570467052190	1570467052190
REQUEST	36		SmokeTest	1570467050981	1570467052796	OK	 
USER	SmokeTest	36	END	1570467050980	1570467052799
USER	SmokeTest	39	START	1570467052800	1570467052800
REQUEST	37		SmokeTest	1570467051684	1570467053784	OK	 
USER	SmokeTest	37	END	1570467051683	1570467053786
USER	SmokeTest	40	START	1570467053787	1570467053787
