RUN	SmokeTest.getCreditLimitClient	getcreditlimitclient	1570465254826	 	3.0.2
USER	SmokeTest	1	START	1570465257415	1570465257415
USER	SmokeTest	2	START	1570465257785	1570465257785
USER	SmokeTest	3	START	1570465258115	1570465258115
REQUEST	2		SmokeTest	1570465257795	1570465262503	OK	 
REQUEST	3		SmokeTest	1570465258118	1570465262503	OK	 
USER	SmokeTest	2	END	1570465257785	1570465262573
USER	SmokeTest	4	START	1570465262576	1570465262576
USER	SmokeTest	3	END	1570465258115	1570465262576
USER	SmokeTest	5	START	1570465262576	1570465262576
REQUEST	1		SmokeTest	1570465257460	1570465262588	OK	 
USER	SmokeTest	1	END	1570465257415	1570465262591
USER	SmokeTest	6	START	1570465262592	1570465262592
REQUEST	4		SmokeTest	1570465262577	1570465265630	OK	 
USER	SmokeTest	4	END	1570465262576	1570465265633
USER	SmokeTest	7	START	1570465265634	1570465265634
REQUEST	6		SmokeTest	1570465262593	1570465266299	OK	 
USER	SmokeTest	6	END	1570465262592	1570465266303
USER	SmokeTest	8	START	1570465266314	1570465266314
REQUEST	5		SmokeTest	1570465262578	1570465266333	OK	 
USER	SmokeTest	5	END	1570465262576	1570465266336
USER	SmokeTest	9	START	1570465266347	1570465266347
REQUEST	7		SmokeTest	1570465265637	1570465267197	OK	 
USER	SmokeTest	7	END	1570465265634	1570465267199
USER	SmokeTest	10	START	1570465267199	1570465267199
REQUEST	9		SmokeTest	1570465266354	1570465268101	OK	 
USER	SmokeTest	9	END	1570465266347	1570465268104
USER	SmokeTest	11	START	1570465268105	1570465268105
REQUEST	8		SmokeTest	1570465266322	1570465268435	OK	 
USER	SmokeTest	8	END	1570465266314	1570465268437
USER	SmokeTest	12	START	1570465268437	1570465268437
REQUEST	10		SmokeTest	1570465267200	1570465268901	OK	 
USER	SmokeTest	10	END	1570465267199	1570465268903
USER	SmokeTest	13	START	1570465268903	1570465268903
REQUEST	12		SmokeTest	1570465268438	1570465270586	OK	 
USER	SmokeTest	12	END	1570465268437	1570465270589
USER	SmokeTest	14	START	1570465270590	1570465270590
REQUEST	11		SmokeTest	1570465268106	1570465270597	OK	 
USER	SmokeTest	11	END	1570465268105	1570465270599
USER	SmokeTest	15	START	1570465270600	1570465270600
REQUEST	13		SmokeTest	1570465268905	1570465271334	OK	 
USER	SmokeTest	13	END	1570465268903	1570465271337
USER	SmokeTest	16	START	1570465271340	1570465271340
REQUEST	15		SmokeTest	1570465270602	1570465275498	OK	 
USER	SmokeTest	15	END	1570465270600	1570465275501
USER	SmokeTest	17	START	1570465275501	1570465275501
REQUEST	14		SmokeTest	1570465270592	1570465275796	OK	 
USER	SmokeTest	14	END	1570465270590	1570465275799
USER	SmokeTest	18	START	1570465275800	1570465275800
REQUEST	16		SmokeTest	1570465271342	1570465275802	OK	 
USER	SmokeTest	16	END	1570465271340	1570465275805
USER	SmokeTest	19	START	1570465275806	1570465275806
REQUEST	17		SmokeTest	1570465275503	1570465276890	OK	 
USER	SmokeTest	17	END	1570465275501	1570465276894
USER	SmokeTest	20	START	1570465276895	1570465276895
REQUEST	18		SmokeTest	1570465275801	1570465277795	OK	 
USER	SmokeTest	18	END	1570465275800	1570465277799
USER	SmokeTest	21	START	1570465277799	1570465277799
REQUEST	19		SmokeTest	1570465275814	1570465277908	OK	 
USER	SmokeTest	19	END	1570465275806	1570465277911
USER	SmokeTest	22	START	1570465277912	1570465277912
REQUEST	20		SmokeTest	1570465276898	1570465278499	OK	 
USER	SmokeTest	20	END	1570465276895	1570465278502
USER	SmokeTest	23	START	1570465278503	1570465278503
REQUEST	21		SmokeTest	1570465277801	1570465279095	OK	 
USER	SmokeTest	21	END	1570465277799	1570465279098
USER	SmokeTest	24	START	1570465279098	1570465279098
REQUEST	22		SmokeTest	1570465277914	1570465279725	OK	 
USER	SmokeTest	22	END	1570465277912	1570465279727
USER	SmokeTest	25	START	1570465279728	1570465279728
REQUEST	23		SmokeTest	1570465278505	1570465280195	OK	 
USER	SmokeTest	23	END	1570465278503	1570465280197
USER	SmokeTest	26	START	1570465280197	1570465280197
REQUEST	24		SmokeTest	1570465279100	1570465280699	OK	 
USER	SmokeTest	24	END	1570465279098	1570465280702
USER	SmokeTest	27	START	1570465280703	1570465280703
REQUEST	25		SmokeTest	1570465279729	1570465281292	OK	 
USER	SmokeTest	25	END	1570465279728	1570465281294
