RUN	SmokeTest.payCredit	paycredit	1570478456284	 	3.0.2
USER	SmokeTest	1	START	1570478458945	1570478458945
USER	SmokeTest	2	START	1570478459315	1570478459315
USER	SmokeTest	3	START	1570478459641	1570478459641
REQUEST	1		SmokeTest	1570478458983	1570478460921	OK	 
REQUEST	2		SmokeTest	1570478459316	1570478460895	OK	 
USER	SmokeTest	2	END	1570478459315	1570478460950
USER	SmokeTest	4	START	1570478460952	1570478460952
USER	SmokeTest	1	END	1570478458945	1570478460950
USER	SmokeTest	5	START	1570478460953	1570478460953
REQUEST	3		SmokeTest	1570478459642	1570478461094	OK	 
USER	SmokeTest	3	END	1570478459641	1570478461097
USER	SmokeTest	6	START	1570478461098	1570478461098
REQUEST	5		SmokeTest	1570478460955	1570478464325	OK	 
REQUEST	4		SmokeTest	1570478460954	1570478464330	OK	 
REQUEST	6		SmokeTest	1570478461100	1570478464332	OK	 
USER	SmokeTest	5	END	1570478460953	1570478464330
USER	SmokeTest	7	START	1570478464335	1570478464335
USER	SmokeTest	4	END	1570478460952	1570478464333
USER	SmokeTest	8	START	1570478464337	1570478464337
USER	SmokeTest	6	END	1570478461098	1570478464335
USER	SmokeTest	9	START	1570478464338	1570478464338
REQUEST	8		SmokeTest	1570478464339	1570478466036	OK	 
USER	SmokeTest	8	END	1570478464337	1570478466039
USER	SmokeTest	10	START	1570478466039	1570478466039
REQUEST	7		SmokeTest	1570478464337	1570478466098	OK	 
USER	SmokeTest	7	END	1570478464335	1570478466101
USER	SmokeTest	11	START	1570478466101	1570478466101
REQUEST	9		SmokeTest	1570478464340	1570478466106	OK	 
USER	SmokeTest	9	END	1570478464338	1570478466108
USER	SmokeTest	12	START	1570478466109	1570478466109
REQUEST	11		SmokeTest	1570478466103	1570478467732	OK	 
USER	SmokeTest	11	END	1570478466101	1570478467735
USER	SmokeTest	13	START	1570478467736	1570478467736
REQUEST	10		SmokeTest	1570478466041	1570478467779	OK	 
USER	SmokeTest	10	END	1570478466039	1570478467782
USER	SmokeTest	14	START	1570478467782	1570478467782
REQUEST	12		SmokeTest	1570478466111	1570478467885	OK	 
USER	SmokeTest	12	END	1570478466109	1570478467887
USER	SmokeTest	15	START	1570478467887	1570478467887
REQUEST	14		SmokeTest	1570478467783	1570478469412	OK	 
USER	SmokeTest	14	END	1570478467782	1570478469415
USER	SmokeTest	16	START	1570478469416	1570478469416
REQUEST	13		SmokeTest	1570478467738	1570478469416	OK	 
USER	SmokeTest	13	END	1570478467736	1570478469420
USER	SmokeTest	17	START	1570478469420	1570478469420
REQUEST	15		SmokeTest	1570478467889	1570478469460	OK	 
USER	SmokeTest	15	END	1570478467887	1570478469463
USER	SmokeTest	18	START	1570478469463	1570478469463
REQUEST	18		SmokeTest	1570478469465	1570478471117	OK	 
USER	SmokeTest	18	END	1570478469463	1570478471119
USER	SmokeTest	19	START	1570478471119	1570478471119
REQUEST	17		SmokeTest	1570478469422	1570478471194	OK	 
USER	SmokeTest	17	END	1570478469420	1570478471196
USER	SmokeTest	20	START	1570478471196	1570478471196
REQUEST	16		SmokeTest	1570478469418	1570478471273	OK	 
USER	SmokeTest	16	END	1570478469416	1570478471275
USER	SmokeTest	21	START	1570478471276	1570478471276
REQUEST	19		SmokeTest	1570478471121	1570478472757	OK	 
USER	SmokeTest	19	END	1570478471119	1570478472761
USER	SmokeTest	22	START	1570478472761	1570478472761
REQUEST	20		SmokeTest	1570478471197	1570478472801	OK	 
USER	SmokeTest	20	END	1570478471196	1570478472803
USER	SmokeTest	23	START	1570478472804	1570478472804
REQUEST	21		SmokeTest	1570478471278	1570478473552	OK	 
USER	SmokeTest	21	END	1570478471276	1570478473555
USER	SmokeTest	24	START	1570478473556	1570478473556
REQUEST	22		SmokeTest	1570478472763	1570478477500	OK	 
USER	SmokeTest	22	END	1570478472761	1570478477503
USER	SmokeTest	25	START	1570478477504	1570478477504
REQUEST	23		SmokeTest	1570478472805	1570478477634	OK	 
USER	SmokeTest	23	END	1570478472804	1570478477636
USER	SmokeTest	26	START	1570478477636	1570478477636
REQUEST	24		SmokeTest	1570478473558	1570478477839	OK	 
USER	SmokeTest	24	END	1570478473556	1570478477842
USER	SmokeTest	27	START	1570478477842	1570478477842
REQUEST	25		SmokeTest	1570478477506	1570478481322	OK	 
USER	SmokeTest	25	END	1570478477504	1570478481325
USER	SmokeTest	28	START	1570478481326	1570478481326
REQUEST	27		SmokeTest	1570478477843	1570478481354	OK	 
USER	SmokeTest	27	END	1570478477842	1570478481357
USER	SmokeTest	29	START	1570478481357	1570478481357
REQUEST	26		SmokeTest	1570478477637	1570478481368	OK	 
USER	SmokeTest	26	END	1570478477636	1570478481370
USER	SmokeTest	30	START	1570478481370	1570478481370
REQUEST	30		SmokeTest	1570478481371	1570478482479	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	30	END	1570478481370	1570478482488
USER	SmokeTest	31	START	1570478482489	1570478482489
REQUEST	29		SmokeTest	1570478481359	1570478482508	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	29	END	1570478481357	1570478482510
USER	SmokeTest	32	START	1570478482510	1570478482510
REQUEST	28		SmokeTest	1570478481327	1570478482884	OK	 
USER	SmokeTest	28	END	1570478481326	1570478482886
USER	SmokeTest	33	START	1570478482886	1570478482886
REQUEST	31		SmokeTest	1570478482490	1570478483977	OK	 
USER	SmokeTest	31	END	1570478482489	1570478483980
USER	SmokeTest	34	START	1570478483980	1570478483980
